Season,Team,Position,Player,Injury Type,Cap Hit,Chip,Games Missed,Games Missed
2017/18,Carolina,D,"van Riemsdyk, Trevor",Concussion,0.825,30.18292683,3,3
2017/18,Colorado,F,"Wilson, Colin",Concussion,3.9375,384.1463415,8,8
2017/18,Colorado,G,"Bernier, Jonathan",Concussion,2.75,268.2926829,8,8
2017/18,Colorado,G,"Hammond, Andrew",Concussion,1.35,197.5609756,12,12
2017/18,Dallas,D,"Johns, Stephen",Concussion,0.725,26.52439024,3,3
2017/18,Edmonton,F,"Draisaitl, Leon",Concussion,8.5,414.6341463,4,4
2017/18,Los Angeles,F,"Lewis, Trevor",Concussion,2,292.6829268,12,12
2017/18,Minnesota,D,"Olofsson, Gustav",Concussion,0.725,44.20731707,5,5
2017/18,Montreal,F,"Danault, Phillip",Concussion,0.9125,166.9207317,15,15
2017/18,Montreal,F,"Hemsky, Ales",Concussion,1,902.4390244,74,74
2017/18,Montreal,F,"Scherbak, Nikita",Concussion,1.063333,25.93495122,2,2
2017/18,Montreal,G,"Montoya, Al",Concussion,1.0625,310.9756098,24,24
2017/18,Montreal,G,"Price, Carey",Concussion,6.5,1030.487805,13,13
2017/18,New Jersey,F,"Johansson, Marcus",Concussion,4.583333,726.6259634,13,13
2017/18,New Jersey,F,"Johansson, Marcus",Concussion,4.583333,1956.300671,35,35
2017/18,NY Rangers,F,"Buchnevich, Pavel",Concussion,0.925,78.96341463,7,7
2017/18,NY Rangers,F,"Vesey, Jimmy",Concussion,3.775,138.1097561,3,3
2017/18,NY Rangers,F,"Zibanejad, Mika",Concussion,5.35,587.195122,9,9
2017/18,Ottawa,D,"Borowiecki, Mark",Concussion,1.1,281.7073171,21,21
2017/18,Ottawa,G,"Condon, Mike",Concussion,2.4,87.80487805,3,3
2017/18,Pittsburgh,F,"Rust, Bryan",Concussion,0.64,15.6097561,2,2
2017/18,Pittsburgh,D,"Dumoulin, Brian",Concussion,4.1,100,2,2
2017/18,Pittsburgh,D,"Hunwick, Matt",Concussion,2.25,411.5853659,15,15
