season,name,team,position,games_played,corsi_percentage,fenwick_percentage,goals,points,penalty_minutes,hits,takeaways,giveaways,games_missed,points_per_game
2013,Mikhail Grabovski,WSH,C,58,0.54,0.52,13,35,16,19,27,21,0,0.6
2013,Andrew Alberts,VAN,D,10,0.47,0.42,0,0,0,6,0,4,41,0.0
2013,Carl Gunnarsson,TOR,D,80,0.35,0.36,3,17,34,166,29,65,0,0.21
2013,Lubomir Visnovsky,NYI,D,24,0.61,0.59,3,11,10,14,15,18,12,0.46
2013,Lubomir Visnovsky,NYI,D,24,0.61,0.59,3,11,10,14,15,18,46,0.46
2014,Jack Hillen,CAR,D,38,0.48,0.47,0,5,10,38,6,9,19,0.13
2014,Jonathan Huberdeau,FLA,L,79,0.57,0.57,15,54,38,68,34,23,0,0.68
2014,Nicklas Grossmann,PHI,D,68,0.41,0.4,5,14,32,132,10,23,0,0.21
2014,Patrick Sharp,CHI,L,68,0.62,0.59,16,43,33,74,38,25,0,0.63
2014,David Perron,PIT,L,81,0.6,0.6,17,41,52,171,35,35,0,0.51
2014,Radko Gudas,T.B,D,31,0.5,0.52,2,5,34,115,9,12,0,0.16
