"index","pkey","season","name","team","position","games_played","i_f_goals","i_f_points","i_f_penalityminutes","i_f_hits","i_f_takeaways","i_f_giveaways","onice_corsipercentage","onice_fenwickpercentage","games_missed"
4602,"2017Sam Gagner",2017,"Sam Gagner","VAN","C",74,10,31,35,54,17,22,0.52,0.51,1
4616,"2017Trevor van Riemsdyk",2017,"Trevor van Riemsdyk","CAR","D",79,3,16,20,25,45,19,0.52,0.52,3
4620,"2017Noah Hanifin",2017,"Noah Hanifin","CAR","D",79,10,32,21,81,50,58,0.6,0.59,3
4621,"2017Brian Dumoulin",2017,"Brian Dumoulin","PIT","D",80,5,18,30,101,35,43,0.48,0.49,2
4636,"2017Brett Pesce",2017,"Brett Pesce","CAR","D",65,3,19,18,57,38,24,0.49,0.48,3
4683,"2017Colin Wilson",2017,"Colin Wilson","COL","C",55,6,18,6,38,11,13,0.53,0.54,8
4695,"2017Trevor Lewis",2017,"Trevor Lewis","L.A","C",68,14,26,25,125,19,14,0.46,0.47,12
4803,"2017Brett Connolly",2017,"Brett Connolly","WSH","R",70,15,27,20,72,17,19,0.51,0.48,7
4942,"2017Sebastian Aho",2017,"Sebastian Aho","CAR","R",78,29,65,24,65,59,53,0.61,0.6,4
4971,"2017Nikita Scherbak",2017,"Nikita Scherbak","MTL","R",26,4,6,8,18,13,9,0.52,0.52,2
4975,"2017Sebastian Aho",2017,"Sebastian Aho","NYI","D",22,1,4,6,10,3,12,0.49,0.47,4
4986,"2017Kyle Okposo",2017,"Kyle Okposo","BUF","R",76,15,44,40,70,24,28,0.57,0.56,3
5003,"2017Dmitry Kulikov",2017,"Dmitry Kulikov","WPG","D",62,3,11,22,69,11,53,0.42,0.43,3
5035,"2017Ales Hemsky",2017,"Ales Hemsky","MTL","R",7,0,0,10,0,1,3,0.62,0.62,74
5047,"2017Ondrej Kase",2017,"Ondrej Kase","ANA","R",66,20,38,14,28,29,31,0.56,0.55,10
5049,"2017Leon Draisaitl",2017,"Leon Draisaitl","EDM","C",78,25,70,30,40,78,84,0.57,0.58,4
5081,"2017Logan Couture",2017,"Logan Couture","S.J","C",78,34,61,18,33,55,52,0.56,0.57,4
5092,"2017Stephen Johns",2017,"Stephen Johns","DAL","D",74,8,15,41,198,25,44,0.46,0.47,3
5127,"2017Matt Hunwick",2017,"Matt Hunwick","PIT","D",42,4,10,21,51,14,20,0.45,0.44,15
5142,"2017Victor Antipin",2017,"Victor Antipin","BUF","D",47,0,10,18,14,4,13,0.51,0.5,4
5163,"2017Gustav Olofsson",2017,"Gustav Olofsson","MIN","D",41,0,8,14,23,5,12,0.46,0.47,5
5163,"2017Gustav Olofsson",2017,"Gustav Olofsson","MIN","D",41,0,8,14,23,5,12,0.46,0.47,5
